gene,mutated_samples,dcb_mutated,dcb_wildtype,no_dcb_mutated,no_dcb_wildtype,dcb_mutation_fraction,no_dcb_mutation_fraction,odds_ratio_dcb,p_value,flag_gene,biology_panel,frequency_tier,q_value
TECPR2,6,6,23,0,76,0.20689655172413793,0.0,inf,0.00029516372539595476,False,,primary_screen,0.8124185882767119
FSTL4,5,5,24,0,76,0.1724137931034483,0.0,inf,0.0012298488558164782,False,,primary_screen,0.8124185882767119
OR5D14,5,5,24,0,76,0.1724137931034483,0.0,inf,0.0012298488558164782,False,,primary_screen,0.8124185882767119
SETD3,5,5,24,0,76,0.1724137931034483,0.0,inf,0.0012298488558164782,False,,primary_screen,0.8124185882767119
MICAL3,9,7,22,2,74,0.2413793103448276,0.02631578947368421,11.772727272727273,0.0015921347645816966,False,,primary_screen,0.8124185882767119
SYNPO2,9,7,22,2,74,0.2413793103448276,0.02631578947368421,11.772727272727273,0.0015921347645816966,False,,primary_screen,0.8124185882767119
PLXNA4,10,7,22,3,73,0.2413793103448276,0.039473684210526314,7.742424242424242,0.0042545294827095095,False,,primary_screen,0.8124185882767119
C11ORF40,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
CAGE1,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
DDI1,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
KAT6B,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
PARP8,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
RAD54L2,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
RB1CC1,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
RBSN,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
SLC12A2,4,4,25,0,76,0.13793103448275862,0.0,inf,0.004968589377498572,False,,low_frequency,0.8124185882767119
