gene,mutated_samples,sample_fraction,flag_gene,biology_panel
TTN,70,0.6363636363636364,True,
MUC16,67,0.6090909090909091,True,
DNAH5,42,0.38181818181818183,False,
BRAF,39,0.35454545454545455,False,Melanoma drivers
PCLO,39,0.35454545454545455,False,
USH2A,37,0.33636363636363636,True,
NRAS,34,0.3090909090909091,False,Melanoma drivers
ANK3,33,0.3,False,
CSMD1,32,0.2909090909090909,False,
LRP1B,32,0.2909090909090909,False,
DNAH3,31,0.2818181818181818,False,
ADGRV1,30,0.2727272727272727,False,
CSMD3,30,0.2727272727272727,False,
PKHD1L1,30,0.2727272727272727,False,
XIRP2,30,0.2727272727272727,False,
DNAH11,29,0.2636363636363636,True,
DNAH8,29,0.2636363636363636,False,
FLG,29,0.2636363636363636,True,
MAGEC1,29,0.2636363636363636,False,
ERICH3,28,0.2545454545454545,False,
HYDIN,28,0.2545454545454545,False,
SPHKAP,28,0.2545454545454545,False,
APOB,27,0.24545454545454545,False,
CSMD2,27,0.24545454545454545,False,
CACNA1E,26,0.23636363636363636,False,
DOCK3,26,0.23636363636363636,False,
MUC17,26,0.23636363636363636,True,
PCDH15,26,0.23636363636363636,False,
PREX2,26,0.23636363636363636,False,
TENM3,26,0.23636363636363636,False,
ZAN,26,0.23636363636363636,False,
DNAH7,25,0.22727272727272727,False,
DSCAM,25,0.22727272727272727,False,
FMN2,25,0.22727272727272727,False,
NEB,25,0.22727272727272727,True,
RP1,25,0.22727272727272727,False,
RYR3,25,0.22727272727272727,False,
SCN10A,25,0.22727272727272727,False,
DNAH10,24,0.21818181818181817,False,
FAM83B,24,0.21818181818181817,False,
FAT3,24,0.21818181818181817,False,
FAT4,24,0.21818181818181817,False,
MGAM,24,0.21818181818181817,False,
MXRA5,24,0.21818181818181817,False,
SYNE1,24,0.21818181818181817,True,
COL4A5,23,0.20909090909090908,False,
LRP2,23,0.20909090909090908,False,
PTPRD,23,0.20909090909090908,False,
SCN9A,23,0.20909090909090908,False,
THSD7B,23,0.20909090909090908,False,
